Metin;Etiket
Sabah 7’de kalkýp spor salonuna gittim, 1 saat boyunca aðýrlýk çalýþtým.;0
Bugün öðle arasýnda arkadaþlarýmla kafede oturup kahve içtik, sohbet ettik.;0
Geçen hafta sonu sinemada izlediðimiz film gerçekten çok etkileyiciydi.;0
Dün gece kitap okuyarak uyuyakaldým, sabah kitabý elimde buldum.;0
Okuldan çýkýnca kütüphaneye uðrayýp sýnavlar için birkaç kaynak aldým.;0
Bugün þirkette yoðun bir gün geçirdim, toplantýlar hiç bitmedi.;0
Sabah kahvaltýda zeytin, peynir, domates ve yumurta yedim, çok lezzetliydi.;0
Hafta sonu yürüyüþe çýktým ve sahilde yaklaþýk bir saat dolaþtým.;0
Dün öðleden sonra kuzenimle parkta basketbol oynayýp eðlenceli zaman geçirdik.;0
Bugün marketten yoðurt, muz, süt ve yulaf almayý unuttum.;0
Bu sabah derse geç kalmamak için alarmý 6:30’a kurmuþtum.;0
Pazartesi günü sunumum vardý, akþam boyunca onun için hazýrlandým.;0
Öðle tatilinde dýþarý çýkýp simit ve ayran aldým, hýzlýca yedim.;0
Geçen yaz Ayvalýk’a tatile gitmiþtik, denizi gerçekten çok temizdi.;0
Bugün hava çok sýcak olduðu için öðle arasýnda dondurma yedim.;0
Dýþarý çýkmadan önce telefonumu þarj ettim ve kulaklýklarýmý yanýma aldým.;0
Dün akþam bilgisayar baþýnda uzun süre kaldýðým için boynum aðrýyor.;0
Sýnavdan yüksek not aldýðýmý öðrenince çok mutlu oldum, hemen aileme söyledim.;0
Sabah koþuya çýktým, dönüþte portakal suyu içip duþ aldým.;0
Bugün sabah metroda bir kedinin vagona bindiðini gördüm, herkes þaþýrdý.;0
Bu hafta sonu kitap fuarýna gitmeyi planlýyorum, birkaç yazar imza günü yapacakmýþ.;0
Annem bugün dolma yaptý, öðle yemeðinde hep birlikte yedik.;0
Dün akþam otobüste eski bir sýnýf arkadaþýma rastladým, biraz sohbet ettik.;0
Bu sabah iþe geç kalmamak için kahvaltýyý ayakta yaptým.;0
Bugün okuldan çýkýnca yaðmur bastýrdý, þemsiyem yanýmda olmadýðý için ýslandým.;0
Hafta içi her gün sabahlarý 20 dakika meditasyon yapmaya çalýþýyorum.;0
Bugün öðleden sonra kütüphanede çalýþýrken birkaç arkadaþým yanýma geldi.;0
Pazar günü pazara gidip taze meyve ve sebze aldým.;0
Dün gece rüyamda üniversiteden mezun olduðumu gördüm.;0
Bu sabah iþe giderken kulaklýklarýmý evde unuttuðumu fark ettim.;0
Bugün öðle arasý dýþarý çýkamadým çünkü acil bir iþ çýktý.;0
Sabah kahvemi içmeden güne baþlayamýyorum, uykum tam açýlmýyor.;0
Bugün staj yaptýðým ofiste yeni biri baþladý, tanýþýp biraz konuþtuk.;0
Dün akþam yürüyüþe çýktým, parkta bir sokak köpeðini besledim.;0
Spor salonunda çalýþtýktan sonra protein içeceði içtim ve duþ aldým.;0
Bugün üniversitedeki son projemi teslim ettim, büyük bir rahatlama hissettim.;0
Hafta sonu arkadaþlarýmla pikniðe gitmeyi planlýyoruz, hava güzel olursa.;0
Bu sabah kahvaltýda menemen yaptým, yanýnda taze ekmek yedim.;0
Bugün toplantýda sunum yaparken biraz heyecanlandým ama iyi geçti.;0
Öðle tatilinde biraz kitap okumak istedim ama çok gürültü vardý.;0
Geçen hafta yeni bir diziyi izlemeye baþladým, çok sürükleyici.;0
Bugün dýþarý çýkmadan önce anneme marketten ne alayým diye sordum.;0
Arkadaþým dün bana doðum günü hediyesi olarak bir kitap aldý.;0
Bugün derste öðrendiðimiz konuyu evde tekrar ettim ve notlar aldým.;0
Bu sabah ilk defa tramvay kullandým, oldukça rahattý.;0
Dün akþam makarna yaptým ama tuzunu biraz fazla kaçýrmýþým.;0
Bugün spor yaptýktan sonra kaslarým çok aðrýdý, biraz dinlenmem lazým.;0
Sabah gazete okurken ilgimi çeken bir haber gördüm, arkadaþlarýma da anlattým.;0
Anahtarlarýmý nereye koydum?;1
Ben... ben nereye gidiyordum?;1
Bugün pazardý deðil mi? Cuma mýydý?;1
Oðlumun adý neydi?;1
Kapýyý kapattým mý? Kapattým mý?;1
Kahvaltýda... þey... çorap yedim mi?;1
Ayþe geldi mi? Ayþe kimdi?;1
Dýþarýsý gece mi oldu?;1
Okula gittim ben... dün... bugün.;1
Bu adam kimdi? Ben miydim?;1
Yemek yedim mi, yemedim mi?;1
Ayakkabýlarýmý koltuða koydum.;1
Annem mi aradý? Ama... annem öldü.;1
Tencerede kitap vardý.;1
Televizyonu bu anahtarla açamadým.;1
Bugün pazartesi... hayýr cuma.;1
Ben sinemaya gidiyorum... dün.;1
Kalemle su içtim galiba.;1
Kapý açýldý mý? Kilitli mi?;1
Camdan geçtim, kuþ uçmadý.;1
Sobayý dolaba koydum.;1
Çayý içtim, tadý kitap gibiydi.;1
Uyudum mu? Dün uyanmýþ mýydým?;1
Yürüdüm... sandalye yoktu.;1
Bu benim deðil... ya da benimdi.;1
Telefon çaldý mý? Çaldý mý?;1
Kendi kendime konuþtum... kimse duymadý.;1
Bugün... sabah mýydý? Öðle mi?;1
Yemek masasýnda yastýk vardý.;1
Pencere mi açýldý? Kapatýldý mý?;1
Ceketimi suya astým.;1
Ay... dün düðün vardý sanýrým.;1
Tuvalete gittim mi? Yeni mi geldim?;1
Bu... bu kapý hep buradaydý.;1
Çatalýn sesi televizyondu.;1
Düðün mü? Doðumdu sanýrým.;1
Bugün pazardý... hayýr salýydý.;1
Elimi çantaya koydum... olmadý.;1
Dýþarý çýktým, hava vardý.;1
Kitabý piþirdim, çayý okudum.;1
Kolum acýmýyor ama acýyor.;1
Bu çocuk... ben miyim?;1
Rüyada deðilim, belki de rüyadayým.;1
Annem bana öðle yemeði doðurdu.;1
Ayakkabýlarýmý cebime koydum.;1
Bugün cuma deðil... bayram mýydý?;1
Kimin evi bu? Benim mi?;1
Salonda sandalye vardý, yoktu.;1
Þarkýyý açamadým çünkü televizyon konuþuyor.;1
Dýþarý çýkacaðým... çýkmýþtým sanki.;1
Bu sabah saat yedide kalkýp yürüyüþe çýktým, hava çok serindi.;0
Dün akþam kardeþimle birlikte oturup iki saat boyunca film izledik.;0
Sabah kahvaltýda yumurta, zeytin ve domates yedikten sonra iþe gittim.;0
Bugün öðle arasýnda kütüphaneye uðrayýp sýnav için kitap aldým.;0
Haftasonu arkadaþlarýmla birlikte pikniðe gittik, çok güzel vakit geçirdik.;0
Ýþe gitmeden önce çamaþýrlarý yýkadým, evi biraz toparladým.;0
Bu sabah metroda kitabýmý okumaya baþladým, çok sürükleyiciydi.;0
Geçen yaz Antalya’da tatil yaparken tarihi yerleri gezme fýrsatým oldu.;0
Bugün staj yaptýðým ofiste yeni biri baþladý, hemen tanýþtýk.;0
Annemle pazara gidip taze meyve ve sebze aldýk, oldukça kalabalýktý.;0
Bu sabah diþçiye gittim, kontrol sýrasýnda diþimde bir problem buldular.;0
Dün akþam arkadaþlarýmla birlikte dýþarýda pizza yedik, sohbet ettik.;0
Bugün hava çok sýcak olduðu için yürüyüþe sabah erken saatlerde çýktým.;0
Akþam yemeði için fýrýnda tavuk yaptým, yanýnda pilav hazýrladým.;0
Sabah iþe gitmeden önce kahvemi içip kitap okudum, keyifliydi.;0
Geçen hafta kuzenimin düðününe gittik, oldukça eðlenceli geçti.;0
Bugün üniversitede dersler çok yoðundu, hepsi arka arkayaydý.;0
Spor salonuna gidip 1 saat boyunca aðýrlýk çalýþtým, oldukça yorucuydu.;0
Bu sabah yaðmur yaðdýðý için servisi beklerken biraz ýslandým.;0
Öðle arasýnda dýþarý çýkýp küçük bir kafe buldum, orada sandviç yedim.;0
Dün gece yatmadan önce müzik dinledim ve günlüðüme birkaç þey yazdým.;0
Sabah kahvaltýdan sonra balkonda oturup kahvemi içerek günün tadýný çýkardým.;0
Bugün ders çalýþmaya erken baþladým çünkü yarýn önemli bir sýnavým var.;0
Hafta içi her sabah 10 dakika meditasyon yapýyorum, çok iyi geliyor.;0
Sabah 6’da kalkýp deniz kenarýnda yürüyüþ yapmaya baþladým.;0
Akþam yemeðinde balýk yaptým, yanýnda limon ve roka da vardý.;0
Bugün alýþveriþe çýktým, ihtiyaçlarýmý tamamladýktan sonra eve döndüm.;0
Ýþ yerinde yoðunluk nedeniyle öðle yemeðini geç yedik, ama güzeldi.;0
Bu hafta sonu tiyatroya gitmeyi planlýyorum, biletleri aldým bile.;0
Sabah kalkar kalkmaz kahve yaptým, sonra hemen bilgisayarýmý açtým.;0
Yeni baþlayan diziyi izlemeye baþladým, konusu oldukça ilginç geldi.;0
Bugün kardeþimle birlikte evi temizledik, sonra birlikte yemek yaptýk.;0
Güne baþlarken müzik dinlemeyi çok seviyorum, motivasyon veriyor.;0
Geçen hafta doðum günümde arkadaþlarým bana sürpriz yaptý.;0
Sabah otobüs duraðýnda sýra beklerken eski bir öðretmenimi gördüm.;0
Bu sabah iþe geç kalmamak için alarmý erkenden kurdum.;0
Bugün öðleden sonra banka iþlerini hallettim, faturalarý ödedim.;0
Spor yaptýktan sonra duþ alýp taze meyve suyu içtim.;0
Bugün öðle arasýnda biraz yürüyüþ yapýp temiz hava aldým.;0
Öðrenci evimizde bugün sýra bendeydi, akþam yemeðini ben yaptým.;0
Hafta sonlarý genellikle kitap okuyarak vakit geçirmeyi tercih ediyorum.;0
Bugün online derse zamanýnda katýldým, notlarýmý da düzenledim.;0
Sabah kahvaltýdan sonra bir fincan Türk kahvesi içtim.;0
Yeni aldýðým ayakkabýlarla dýþarýda yürümek oldukça rahattý.;0
Bugün kuaföre gittim, saçýmý kestirdim ve þekil verdirdim.;0
Ders çalýþýrken zamanýn nasýl geçtiðini anlamadým.;0
Bugün posta kutumda beklediðim mektubu buldum.;0
Kahvaltýdan sonra annemle birlikte pazara gitmeye karar verdik.;0
Bu sabah ilk iþ olarak mutfaðý temizledim, ardýndan çamaþýr yýkadým.;0
Bugün hava çok güzel olduðu için sahilde yürüyüþe çýktým.;0
