Metin;Etiket
Kedimle birlikte battaniye altýnda film izlemek keyifli.;0
Evcil hayvanlarla vakit geçirmek bana iyi geliyor.;0
En sevdiðim mevsim ilkbahar çünkü çiçekler açar.;0
O geldiðinde herkes susmuþtu.;1
Yemeði yedim çünkü çok uykum vardý.;1
Köpeði sevdim ama o bana baðýrdý.;1
Dün Ali'yi gördüm, çok þaþýrdým çünkü gitmiþti.;1
Kapýyý çaldým ama kimse kapýyý açtý.;1
Annem aradý çünkü telefon sessizdeydi.;1
Kitabý verdim ama okumamýþtý.;1
O gittiði zaman çoktan gelmiþti.;1
Filmi izledim ama kitap çok güzeldi.;1
Kardeþimle konuþtum, sonra o aðladý.;1
Yemeði býraktý çünkü geç kalýyordu.;1
Onu gördüm ama sonra onu göremedim.;1
Elmayý yedi çünkü kalem kýrýldý.;1
Saat ondu ama güneþ yeni doðuyordu.;1
O geldi, sonra herkes gitti çünkü yaðmur yaðdý.;1
Kedi miyavladý çünkü çiçek soldu.;1
Ayþe kalemi verdi ama o yazmýyordu.;1
Sabah kalktým ama gece rüya görmedim.;1
O beni seviyor ama onunla konuþmadým.;1
Sýnýfta yoktu ama tahtaya yazý yazdý.;1
Cam kýrýldý çünkü Ali ders çalýþýyordu.;1
Çayý içtim çünkü yaðmur yaðýyordu.;1
Kalemi býraktý çünkü yemeði sevmedi.;1
O geldi, onu gördü, sonra mutlu oldu.;1
Sýnavdan kaldým çünkü zil çalmadý.;1
Bugün sinemaya arkadaþlarýmla gittim.;0
Kahvaltýda peynir ve zeytin yedim.;0
Ders çalýþýrken müzik dinlemeyi seviyorum.;0
Sabah koþusu yaptýktan sonra duþ aldým.;0
Kütüphanede sessizce kitap okuduk.;0
Öðle yemeðinde çorba ve pilav vardý.;0
Yeni telefonumu bugün teslim aldým.;0
Annem bana güzel bir elbise aldý.;0
Ali hafta sonu sinemaya gidecek.;0
Yarýn sabah saat dokuzda toplantým var.;0
Kedim pencerenin önünde güneþleniyor.;0
Bugün havuzda yüzdük ve çok eðlendik.;0
Yeni dizüstü bilgisayarým çok hýzlý.;0
Çalýþma odasýnda kitaplarýmý düzenledim.;0
Babam akþam yemeði için pizza yaptý.;0
Marketten süt ve ekmek aldým.;0
Pazartesi günü okula baþladýk.;0
Kütüphanede sýnava hazýrlandým.;0
Güneþli havalarda yürüyüþ yapmayý seviyorum.;0
Bugün parkta kitap okudum.;0
Odamý temizledim ve çamaþýr yýkadým.;0
Yarýn sabah erken kalkacaðým.;0
Arkadaþýmla telefonla uzun süre konuþtum.;0
Yeni aldýðým kitabý bitirdim.;0
Bahçede çiçekleri suladým.;0
Sýnavda çok baþarýlý oldum ama öðretmen bana not vermedi.;1
Yemek yapmayý çok severim çünkü kedim uyumuyordu.;1
Bisiklet sürerken düþtüm ama gökyüzü çok maviydi.;1
Annem bana hediye aldý çünkü ben aðlýyordum.;1
Yazýn tatile gittik ama güneþ hiç doðmadý.;1
Kapýyý açmaya çalýþtým ama içeride kimse yoktu.;1
Müzik dinlerken uyuya kalmýþým ama alarm çalmýyordu.;1
Toplantý çok verimli geçti çünkü çay içtim.;1
Arabayla seyahat ettik ama yol çok uzundu çünkü babam çalýþýyordu.;1
Telefonumun þarjý bitmiþti ama ben onu þarj etmiyordum.;1
Film izledim ve çok beðendim ama o film aslýnda hiç çekilmedi.;1
Hava çok soðuktu, bir ceket giydim ama çok sýcaktý.;1
Çiçekleri suladým ama çiçekler su istemiyordu çünkü onlar balýktý.;1
Kitap okumayý býraktým çünkü televizyonu açtým, sonra kapattým.;1
Þarký söylerken sesim kýsýldý ama þarkýyý bitirdim çünkü pasta vardý.;1
Yaðmur yaðýnca þemsiyemi açtým, ama sonra güneþi gördüm.;1
Pencereden dýþarý baktým ama pencere yoktu.;1
Futbol maçý izlerken çok heyecanlandým, ama maç hiç baþlamadý.;1
Telefonum çaldý ama kimse konuþmuyordu, sonra kapandý.;1
Bana bir bardak su ver, ama o sudan içme çünkü o su deðil.;1
Arabayla gittik ama aslýnda otobüsle gitmiþtik çünkü ben arabayý sürmedim.;1
Evde kimse yoktu, ama birisi bana seslendi.;1
Elma yedim, ama aslýnda muzdu, çok güzeldi.;1
Ben bir öðretmenim ama öðrencilerime ders anlatmýyorum.;1
Televizyon izlerken uyuyakalmýþým, sonra birden uyandým ama nerede olduðumu bilemedim.;1
Benim ismim Ali, ama bana Mehmet diyorlar.;1
Gelecek hafta tatil yapacaðým, ama bu hafta tatildeydim.;1
Yarýn güneþli bir gün olacak, ama bugün kar yaðdý.;1
Ders çalýþýrken müzik dinliyorum, ama bazen müzik dinlemiyorum.;1
Kapýyý açtým ama kapý kapalýydý.;1
Odamý topladým ama hiçbir þeyi toplayamadým çünkü yer yoktu.;1
Arkadaþýma mesaj attým ama o bana cevap vermedi çünkü telefonum bozuktu.;1
Sýnavýma çok çalýþtým ama öðretmenim beni tanýmadý.;1
Yoldan geçerken bir kedi gördüm ama kedi aslýnda bir kuþti.;1
Denize girmek çok güzeldi ama havuza gitmedik çünkü geç kalmýþtýk.;1
Eski bir filmi izledim çünkü bilgisayarým bozuldu.;1
Futbol oynarken topu yakaladým ama basketbol oynamayý seviyorum.;1
Kahve içtim çünkü dondurma yedim.;1
Ders çalýþtým ama kimse yoktu.;1
Yemek yaparken o geldi, sonra anladým.;1
Arkadaþlarýmla konuþuyorum ama bazen olmuyor.;1
Evde televizyon izledim ama aslýnda dýþarýdaydým.;1
Yeni bir araba aldým çünkü eski ayakkabýlarým vardý.;1
Toplantýda çok sýkýldým ama herkes gülüyordu çünkü güneþ batýyordu.;1
Bu yaz çok güzeldi çünkü geçen kýþ kar yaðdý.;1
Dondurma aldým ama yiyemedim çünkü çok sýcaktý.;1
Yüzmeye gittim ama denize girmedim çünkü yüzme bilmiyordum.;1
Kitap okurken uyuyakalmýþým ama çok gürültü vardý.;1
