Metin;Etiket
Ben onu yapmadým, o yapmýþ olabilir.;1
Onu ona verdim, sonra o onu düþürdü.;1
O oradaydý, ben ona bir þey dedim, sonra o da dedi.;1
Þeyi demedim çünkü o onu bilmiyordu.;1
Ben onu anladým ama o baþka bir þey dedi.;1
O bana onu söylemedi, ben de onu söylemedim.;1
O þeyle ilgili bir þey dedi ama ne dediðini anlamadým.;1
Ben onu dedim, sonra o onu yanlýþ anladý.;1
Onu o yapmadýysa ben onu yapmýþýmdýr.;1
Ben ona söyledim ama o da ona baþka þey dedi.;1
Þey vardý ama onu o mu yaptý bilmiyorum.;1
Onu söyledim ama o beni dinlemedi.;1
Ona bir þey dedim, sonra o da onu tekrar etti.;1
Sabah yürüyüþe çýktým, güneþ çok güzeldi.;0
Yeni bir kitap okumaya baþladým, konusu çok ilginç.;0
Arkadaþýmla kahve içtik, sohbet ettik.;0
Bugün evi temizledim, çamaþýr yýkadým.;0
Annemle pazara gittik, sebze ve meyve aldýk.;0
Sinemaya gittim, film çok güzeldi.;0
Hafta sonu pikniðe gittik, çocuklar çok eðlendi.;0
Kütüphanede ders çalýþtým, sonra makale okudum.;0
Köpeðimle parka gittim, uzun süre yürüdük.;0
Sabah kahvaltýda omlet ve peynir yedim.;0
Yeni bir tarif denedim, kek çok güzel oldu.;0
Kardeþimle sinema planý yaptýk, çok heyecanlýyým.;0
Bugün hava serin ama güneþliydi, camý açtým.;0
Yarýn toplantýya katýlacaðým, sunumumu hazýrladým.;0
Öðle yemeðinde sebze çorbasý içtim.;0
Yürüyüþ yaparken müzik dinledim, çok keyifliydi.;0
Kitapçýdan yeni roman aldým, hemen baþladým.;0
Arkadaþlarýmý aradým, hafta sonu planý yaptýk.;0
Bugün evdeydim, dinlendim ve film izledim.;0
Kahvemi alýp balkona çýktým, sessizliði dinledim.;0
Onu oradan aldým, ama o onun olduðunu söylemedi.;1
Bana bir þey dedi ama o neydi hatýrlamýyorum.;1
Ona verdim ama o geri almadý çünkü onu anlamadý.;1
Ben ona onu söylemiþtim ama o hâlâ anlamýyor.;1
O þey vardý ya, onunla ilgili bir þey dedi.;1
Þey geldi, onu o getirdi sanýrým.;1
Ben ona bir þey verdim, sonra o onu kaybetti.;1
O bana dedi ki onu öyle yapma, ama ben unuttum.;1
Onu nereye koyduðumu bilmiyorum, o da bilmiyor.;1
Bir þey vardý, onu yapacaktým ama unuttum.;1
Ben onu söyledim ama o bana baþka bir þey dedi.;1
O onu demedi mi? Ben öyle hatýrlýyorum.;1
Þeyi getir dedim, o baþka þeyi getirdi.;1
O bana bir þey verdi, sonra onu geri aldý.;1
Ben onu almýþtým ama sonra o bana geri verdi.;1
O ona onu verdi mi? Ben emin deðilim.;1
Ben þey yaptým ama sonra o onu bozdu.;1
O dedi ki onu sen yapmadýn, ama ben yaptým.;1
Þeyleri karýþtýrmýþým, hangisini dedi bilmiyorum.;1
O þeyi getirdi ama aslýnda o deðildi.;1
Ona dedim ama o anlamadý, sonra ben tekrar dedim.;1
Ben onu söyledim ama o baþka þey anladý.;1
Þeyi yapmamý istedi ama hangisi olduðunu bilmiyorum.;1
Onu almadým çünkü o bana baþka bir þey dedi.;1
Ben onu yaptým ama o bana dedi ki yanlýþ yapmýþým.;1
Bugün kitap okudum ve yeni bilgiler öðrendim.;0
Kütüphanede sessiz bir ortamda çalýþtým.;0
Yemekten sonra yürüyüþe çýktým, hava çok güzeldi.;0
Yeni tarif denedim, herkes çok beðendi.;0
Akþam yemeðinde sebzeli makarna yaptým.;0
Bahçede çiçeklerle ilgilendim ve toprakla çalýþtým.;0
Arkadaþlarýmla sahilde yürüdük ve sohbet ettik.;0
Bugün yeni bir konu öðrendim, çok ilgimi çekti.;0
Dün gece güzel bir film izledim.;0
Kahvaltýda taze meyve ve yoðurt yedim.;0
Ofiste toplantýya katýldým ve notlar aldým.;0
Evimde temizlik yaptým, çok ferahladý.;0
Bugün spora gittim ve 30 dakika koþu yaptým.;0
Bir proje üzerine çalýþtým ve ilerleme kaydettim.;0
Müzik dinledim ve biraz kitap okudum.;0
Kardeþimle oyun oynadýk ve çok eðlendik.;0
Hafta sonu doða yürüyüþüne çýkmayý planlýyorum.;0
Yeni bir podcast keþfettim, çok bilgilendirici.;0
Pazardan organik sebzeler aldým.;0
Kahve içip günlüðüme birkaç satýr yazdým.;0
Ödevimi tamamladým ve kontrol ettim.;0
Yarýnki sunumum için hazýrlýk yaptým.;0
Kitapçýdan iki yeni roman aldým.;0
Arkadaþýmý arayýp birlikte etkinlik planladým.;0
Bugün yalnýzca dinlenmek istedim ve biraz uzandým.;0
Ben onu dedim ama o baþka bir þey anladý galiba.;1
O bana dedi ki onu yap, ama sonra yapmadý.;1
Þeyi dedim ama o onu unuttu.;1
Ben dedim, o da dedi ama konu karýþtý.;1
O þey vardý, onu hatýrlamýyorum þimdi.;1
O ona dedi, ben de onu söyledim ama iþe yaramadý.;1
Ben onu yapmadým, o yaptý mý bilmiyorum.;1
O onu söylediðini söyledi ama ben duymadým.;1
O þeyi anlatýnca ben baþka bir þeyi düþündüm.;1
Ben dedim ama o onu yapmamýþ.;1
Ona bir þey dedim ama ne dediðimi unuttum.;1
O geldi, o da geldi, sonra o gitti.;1
O þey çok güzeldi, onu beðendim ama unuttum adýný.;1
Ben þeyi alacaktým ama o almýþ zaten.;1
O dedi ki o ona söylemiþ ama o anlamamýþ.;1
Þeyi dedim ama o baþka þeye baktý.;1
Ben yapacaðýmý söyledim ama o unuttu galiba.;1
Ona verdim ama sonra onu almadý.;1
O onu ona vermiþ, ama o almamýþ.;1
Ben ona demedim ki o bana desin.;1
Onu mu demiþtim, yoksa onu mu?;1
Ben söyledim ama o beni anlamadý.;1
O bir þey dedi ama tam duyamadým.;1
Þeyi karýþtýrdým, hangisini demek istemiþtim bilmiyorum.;1
Ben ona söyledim ama o hâlâ sormaya devam etti.;1
Sabah kahvemi içtikten sonra kitap okudum.;0
Annemle markete gittik ve alýþveriþ yaptýk.;0
Günlük yazýmý tamamladým ve temizlik yaptým.;0
Bugün ofiste çok verimli çalýþtým.;0
Hafta sonu tiyatroya gitmeyi planlýyorum.;0
Kütüphanede yeni kitaplar keþfettim.;0
Evde yeni tarif denedim, çok lezzetli oldu.;0
Arkadaþlarým bana sürpriz doðum günü düzenledi.;0
Film izledim, çok duygusaldý.;0
Yeni aldýðým kalemlerle çizim yaptým.;0
Bu sabah güzel bir yürüyüþ yaptým.;0
Gelecek hafta için ders programý hazýrladým.;0
Müze gezisi çok bilgilendiriciydi.;0
Bugün kendime zaman ayýrdým ve dinlendim.;0
Kahvemi alýp terasta oturdum.;0
Sabah güne sporla baþladým.;0
Evimde müzik dinledim ve temizlik yaptým.;0
Yeni telefon aldým, kamerasý harika.;0
Çiçekleri suladým ve pencereyi açtým.;0
Uzun süredir görüþmediðim arkadaþýmý aradým.;0
Bugün güzel yemekler yaptým.;0
Yarýnki etkinlik için hazýrlýk yaptým.;0
Gün boyunca sessiz bir ortamda kitap okudum.;0
Yeni bir diziye baþladým, çok sürükleyici.;0
Fotoðraf çekmek için dýþarý çýktým.;0
Onu getirdim ama o onu istemedi.;1
Ben ona söyledim, o da ona dedi, ama o anlamadý.;1
Þey yap dedim ama o onu yaptý mý bilmiyorum.;1
Ben þey aldým, sonra o onu getirdi sanýrým.;1
O dedi ki o bunu biliyor, ama o öyle demedi.;1
Bunu ona verdim, ama o onu ona vermedi dedi.;1
Ona söyledim ama sonra o bana onu sormadý.;1
O dedi ki ben dedim ama onu ben demedim.;1
O zaman onu yap dedim, o da onu yapmadý.;1
Bana dedi ki, o onu öyle yaptý ama öyle deðilmiþ.;1
O þey vardý ya, onu dedi ama kimse anlamadý.;1
Ben ona bir þey dedim ama sonra o onu unuttu.;1
Onu aldým ama o onu istemediðini söyledi.;1
O ona onu yaptý, ben sadece izledim.;1
O onu öyle yaptý mý gerçekten?;1
Ben onunla konuþtum ama o baþka þey dedi.;1
O dedi ki onu oradan aldý, ama o orada yoktu.;1
Onu hatýrlamýyorum, o bana dedi ama unuttum.;1
Ben ona onu verdim, ama o bana geri vermedi.;1
O þey vardý, o onunla geldi mi?;1
Ben onu alacaktým ama o benden önce aldý.;1
O dediðini unuttu ama sonra bana onu sordu.;1
Ben de ona onu sordum ama cevap alamadým.;1
O þey hakkýnda konuþtuk ama kimse anlamadý.;1
Ben onun söylediðini anlamadým çünkü o karýþýktý.;1
O onu dedi ama sonra da dedi ki o deðilmiþ.;1
Bunu kim dedi bilmiyorum, belki o demiþtir.;1
Ben þeyi unuttum, o bana tekrar hatýrlattý.;1
Ona bunu demiþtim ama bana onu demedi.;1
Ben ona söyledim, sonra o da ona anlattý.;1
O yaptý, ben de yaptým ama o yine de olmadý.;1
Ben onu istemedim ama o ýsrarla verdi.;1
Onu yapacaktým ama o bana engel oldu.;1
O onu getirdi, sonra unuttuðunu söyledi.;1
Ben onu yaptým ama o hala anlamadý.;1
O dedi ki, o ona onu vermiþ ama o almamýþ.;1
Ben ona söylemiþtim, o da onu duymuþ.;1
O þey geldi ama o onu istemediðini söyledi.;1
O bana dedi ama ben ona dememiþtim.;1
Ben ona söyledim, o da dedi ama o yine de anlamadý.;1
Þey dedim ama o baþka þey anlamýþ.;1
Ben onu düþündüm ama o hiç düþünmemiþ.;1
O þey vardý, onu soran kimdi hatýrlamýyorum.;1
O bana geldi ama neden geldiðini hatýrlamýyorum.;1
O onu dedi, ama o onu yanlýþ anlamýþ.;1
Ben söyledim, o tekrar etti ama yanlýþ söyledi.;1
O bana söyledi ama ben zaten biliyordum.;1
Bunu o yapmýþ olabilir, emin deðilim.;1
O ona yaptý mý bilmiyorum, ama sanmýyorum.;1
O þey bana tanýdýk geldi ama nereden bilmiyorum.;1
Sabah erkenden yürüyüþe çýktým ve temiz hava aldým.;0
Yeni bir kitap okumaya baþladým ve çok beðendim.;0
Bahçede çiçekleri suladým ve topraðý havalandýrdým.;0
Dün arkadaþlarýmla buluþtum, çok güzel vakit geçirdik.;0
Akþam yemeði için saðlýklý bir salata hazýrladým.;0
Bugün resim yaparak zaman geçirdim.;0
Kütüphaneye gidip birkaç yeni kitap ödünç aldým.;0
Evde klasik müzik dinleyerek dinlendim.;0
Güneþli havada sahilde yürüyüþ yapmak harikaydý.;0
Kahvemi alýp sakin bir köþede kitap okudum.;0
Yeni bir tarif denedim ve oldukça baþarýlý oldu.;0
Spor salonunda egzersiz yaptýktan sonra rahatladým.;0
Dün akþam güzel bir film izledim.;0
Hafta sonu için doða yürüyüþü planladým.;0
Evdeki bitkileri budadým ve yenilerini diktim.;0
Yoga yaparak güne baþladým.;0
Arkadaþýmla telefonda uzun bir sohbet ettim.;0
Bugün yeni bir dil öðrenmeye baþladým.;0
Kardeþimle masa oyunu oynadýk.;0
Yeni podcastler keþfettim ve dinlemeye baþladým.;0
Müzik eþliðinde temizlik yapmak keyif vericiydi.;0
Pazardan taze sebzeler alýp yemek yaptým.;0
Kitapçýdan roman satýn aldým ve hemen okumaya baþladým.;0
Kendi kendime piyano çaldým.;0
Gün boyunca sessiz kalýp düþüncelere daldým.;0
Tarihi bir belgesel izleyip notlar aldým.;0
Evdeki eski fotoðraflarý düzenledim.;0
Kendi yaptýðým el iþi projelerimle ilgilendim.;0
Bugün kendime vakit ayýrýp meditasyon yaptým.;0
Yeni hobim olan seramiðe baþladým.;0
Komþularýmla bahçede sohbet ettik.;0
Kedimle oynayarak zaman geçirdim.;0
Kendi müziðimi yazmayý denedim.;0
Eski notlarýmý okuyup hatýralarýmý tazeledim.;0
Yeni bir blog yazýsý kaleme aldým.;0
Ýnternetten yeni bir kursa kayýt oldum.;0
Dün evi baþtan sona temizledim.;0
Gece yýldýzlarý izlemek için dýþarý çýktým.;0
Kamp yapmak için malzemelerimi hazýrladým.;0
Bugün yalnýzca huzur aradým ve müzik dinledim.;0
Evimdeki düzenlemeleri yaparak rahatladým.;0
Yemek kitabýndan farklý bir tarif denedim.;0
Yeni bir günlük tutmaya baþladým.;0
Kendime saðlýklý yaþam hedefleri belirledim.;0
Gönüllü bir etkinlikte yer aldým.;0
Fotoðraf makinemi alýp þehir turuna çýktým.;0
Bahçede sebze yetiþtirmeye karar verdim.;0
Müzik eþliðinde dans ettim.;0
Yeni alýnan dergileri karýþtýrdým.;0
Arkadaþýma doðum günü sürprizi hazýrladým.;0
Ben ona dedim, sen de ona söyle dedin ama o yine unuttu.;1
Sen ona verdin mi? Biz onu verdik sandýk ama o almamýþ.;1
Siz onu biliyor musunuz? Ben ona söylemiþtim.;1
Onlar onu yaptýlar ama sen neden yapmadýn dediler.;1
Ben, sen, o... hepimiz ayný þeyi söyledik ama anlamadý.;1
Sen onu yaptýn mý? O dedi ki siz yapmadýnýz.;1
Biz onu istedik ama o sizden istememiþ.;1
Siz ona söylediniz ama o sizi anlamadý.;1
Onlar da geldi, ben de söyledim ama o yine unuttu.;1
Sen dedin ki ben ona söylemiþim ama ben onu hatýrlamýyorum.;1
Ben ve o oraya gittik, siz de oradaydýnýz ama o hatýrlamýyor.;1
Onlar bunu dedi ama sen dedin ki biz söylemedik.;1
Biz ona gittik, siz de gelmiþtiniz ama o sizi hatýrlamadý.;1
Ben dedim ki siz de gelin, o da evet dedi ama unuttu.;1
O beni aradý, sen açmadýn dedim ama o anlamadý.;1
Siz onu yapýn dediniz ama ben çoktan yaptým dedim.;1
Onlar bana söyledi ama sen hala bilmiyorsun.;1
Sen bana onu dedin ama o dedi ki sen dememiþsin.;1
O bana geldi, ben de size uðradým ama siz yoktunuz.;1
Ben dedim ki onu yapmayýn ama siz yine yaptýnýz.;1
Sen bana onu sormuþtun ama o da bilmiyordu.;1
Onlar geldi, ben gittim ama o hala oradaydý.;1
O dedi ki sen de yap, ben de yaptým ama unuttu.;1
O dedi ki sen yapmadýn, ben dedim ki yaptým.;1
Ben ona demedim ki sen bana sordun.;1
Sen ona onu söyle dedin ama o sana bakmadý.;1
Biz bir þey yaptýk ama o hala ayný þeyi soruyor.;1
Ben dedim ki sizden biri unuttu ama kimdi bilmiyorum.;1
O bana geldi, bir þey dedi ama anlayamadým.;1
Siz bana bir þey dediniz ama ne dediðinizi hatýrlamýyorum.;1
Ben ona gittim ama o orada deðildi, dediler ki o evdeydi.;1
O dedi ki sen yapmamýþsýn, ama ben yaptým.;1
Ben dedim ki ona söyle, sen dedin ki söyledin ama o bilmiyor.;1
Biz ona dedik ama o kim olduðumuzu hatýrlamadý.;1
Sen dedin ki o da geldi ama ben onu hiç görmedim.;1
O dedi ki ben ona sordum, o da bana dedi ki sormamýþ.;1
Siz hep ayný þeyi diyorsunuz ama o anlamýyor.;1
Ben ona anlattým ama o sonra tekrar sordu.;1
Onlar bana geldi ama ben onlarýn kim olduðunu çýkaramadým.;1
Sen ona dedin mi bilmiyorum, ben dedim sanmýþtým.;1
Ben dedim ki o oradaydý ama kimse hatýrlamýyor.;1
O bana dedi ki ben dedim ama ne dediðini hatýrlamýyorum.;1
Ben sabah yürüyüþe çýktým, sen de bana katýldýn.;0
O bize yardým etti, siz de teþekkür ettiniz.;0
Biz bugün kütüphaneye gittik ve araþtýrma yaptýk.;0
Sen bana yeni kitabýný gösterdin, çok beðendim.;0
Siz seminer sýrasýnda çok dikkatliydiniz.;0
Onlar bahçede çalýþýyorlardý, biz de katýldýk.;0
Sen bugün çok iyi görünüyorsun, ben öyle hissetmiyorum.;0
Ona sordum ve net bir cevap aldým.;0
Biz piknik yaparken siz de geldiniz.;0
Onlar bizimle ayný etkinliðe katýldý.;0
Sen çayý hazýrlarken ben kek yaptým.;0
Siz müzeyi gezdiniz mi? Biz çok beðendik.;0
Ben bu sabah kendime zaman ayýrdým.;0
Seninle yürüyüþ yapmak çok keyifliydi.;0
Siz ders sýrasýnda çok iyi notlar aldýnýz.;0
Biz toplantýda önerilerimizi sunduk.;0
O güzel konuþmasýnda herkesi etkiledi.;0
Onlar projeyi tamamladýktan sonra sunum yaptýlar.;0
Sen bu konuda ne düþünüyorsun?;0
Ben müzik dinleyerek rahatladým.;0
O kitapçýda saatler geçirdi.;0
Siz kahve içerken biz de tatlý sipariþ ettik.;0
Biz bu konuda size katýlýyoruz.;0
Benim fikrimce bu çözüm oldukça uygun.;0
Senin düþüncelerin bana ilham veriyor.;0
O sabah erkenden uyanýp kahvaltý yaptý.;0
Siz geldiðinizde biz toplantýya baþlamýþtýk.;0
Benimle ayný fikirde olduðunu bilmek güzel.;0
Biz müzikal tiyatroya gittik, çok keyifliydi.;0
Sen bana þiirlerini gösterince çok duygulandým.;0
Sizle yürüyüþ yapmak beni rahatlatýyor.;0
O çalýþmasýný zamanýnda teslim etti.;0
Onlar hafta sonu ailelerini ziyaret etti.;0
Sen sabah çayýný içerken gazeteyi okudun.;0
Ben güne kitap okuyarak baþladým.;0
O projeyi bitirip danýþmanýna teslim etti.;0
Biz otobüsle geldik, siz treni mi kullandýnýz?;0
Senin önerdiðin filmi izledik, harikaydý.;0
O ders sýrasýnda çok dikkatliydi.;0
Ben yeni hobiler edindim bu yaz.;0
Onlar okul sonrasý kulübe katýldýlar.;0
Siz sýnavdan sonra kütüphaneye gittiniz.;0
Senin ses tonun çok içten geliyor.;0
Ben onu deðil seni dinledim bu kez.;0
O geldiðinde herkes onu alkýþladý.;0
Biz çok çalýþtýk ve sonunda baþardýk.;0
Onlar beni desteklediðinde motive oldum.;0
Sen doðru cevapladýn, çok iyi analiz ettin.;0
Siz yeni gelenleri çok güzel karþýladýnýz.;0
Ben günümü planlayarak geçirdim.;0
Ben sabah kahvaltý ettim, sonra sen geldin ve biz birlikte dýþarý çýktýk.;0
Sen onun yerine konuþma dedin ama o yine de konuþtu.;1
Biz derse geç kaldýk ama onlar daha da geç geldi.;0
Siz neden gelmediniz? Ben sizi bekledim.;0
O beni görmedi ama ben onu fark ettim.;1
Ali kendi evine döndü.;0
Ayþe kendi kendine konuþuyordu.;1
Onlar kendi planlarýný anlattýlar.;0
O kendi yaptýðý hatayý fark edemedi.;1
Ben kendi fikrimi söyledim, baþkasýnýn deðil.;0
Bu benim kalemim, þu senin olabilir.;0
Þunlarý kim getirdi bilmiyorum.;1
O sayfa eksikti, bu tamamlandý.;0
Bunlarý bitirdik ama þunlarý henüz yapmadýk.;0
O her þeyi unuttu, bu beni endiþelendirdi.;1
Herkes toplantýya katýldý.;0
Kimse bana ne olduðunu anlatmadý.;1
Biri kapýyý çaldý ama açan olmadý.;0
Bazýlarý bu fikre karþýydý.;0
Çoðu insan ne söylediðini anlamadý.;1
Kim geldiðini biliyor musun?;0
Ne söyledin hatýrlamýyorum.;1
Hangisi senin çantan?;0
Kaçý sýnavdan geçti?;0
Nereyi görmek istiyorsun?;0
Sen þu iþi yapar mýsýn, çünkü kimse yapmadý.;0
Þunlar daha önce yapýldý mý?;0
Kendimi bu durumda yalnýz hissediyorum.;1
Bunlarýn hepsi senin deðil mi?;0
O kiþi kendiyle barýþamamýþ gibiydi.;1
Kim geldiðini unuttum, ama biri vardý.;1
Bu sabah biriyle konuþtum ama kim olduðunu hatýrlamýyorum.;1
Sen kendin karar verdin, biz bir þey demedik.;0
Kendi baþýna karar vermesi çok zor oldu.;1
Bu ev bana eski günleri hatýrlatýyor.;0
Onlar kendileri seçtiler o projeyi.;0
Þu senin olabilir ama emin deðilim.;0
Kim olduðunu sormadým çünkü tanýdým.;0
Kendi kendime tekrar ediyorum söylediklerini.;1
O bana bir þey anlattý ama ne olduðunu unuttum.;1
Bunlarýn içinde en çok bu hoþuma gitti.;0
Herkes geldi ama biri eksikti.;0
Kimse onu hatýrlamýyor, ben bile.;1
Bazýlarý geliyor, bazýlarý gidiyor.;0
Þu kalem senin mi yoksa onun mu?;0
O kiþi kendi geçmiþini anlatmak istemedi.;1
;
