Metin;Etiket
O gün dýþarý çýktým, detaylarý net hatýrlamýyorum.;0
Þey, þey... kapýyý kilitledim mi acaba?;1
Kapýyý kilitleyip kilitlemediðimi hatýrlamýyorum.;0
Ben, ben... markete gittim sanýrým.;1
Markete gittim diye hatýrlýyorum.;0
Yani... anlatmasý zor, kelimeler gelmiyor.;1
Anlatmakta zorlanýyorum, kelimeler aklýma gelmiyor.;0
O, o... kiþi kimdi ya, tanýdýk geldi ama çýkaramadým.;1
Tanýdýk geldi ama kim olduðunu çýkaramadým.;0
Ben... dün müydü, önceki gün müydü bilemedim.;1
Dün mü önceki gün mü emin deðilim.;0
Þey... çok güzel bir gündü ama neden hatýrlamýyorum?;1
Güzel bir gündü ama detaylarý unuttum.;0
Ben, ben... otobüse bindim mi acaba?;1
Otobüse binip binmediðimi hatýrlamýyorum.;0
Yani... kelimeler karýþýyor kafamda.;1
Kelimeler biraz karýþýyor, toparlayamýyorum.;0
O, o... film neydi ya, çok güzeldi ama adý yok aklýmda.;1
Film güzeldi ama adýný hatýrlamýyorum.;0
Ben... sabah kahvaltý yaptým mý?;1
Sabah kahvaltý yapýp yapmadýðýmý hatýrlamýyorum.;0
Þey... biri geldi mi bugün?;1
Bugün biri geldi mi hatýrlamýyorum.;0
O, o... gün çok yoðundu ama ne yaptým bilmiyorum.;1
Gün yoðundu ama neyle uðraþtým hatýrlamýyorum.;0
Ben, ben... telefon ettim mi?;1
Telefon edip etmediðimi hatýrlamýyorum.;0
Yani... konuþurken hep duraksýyorum.;1
Konuþurken sýk sýk duraksýyorum.;0
O, o... kiþiyle konuþtum mu acaba?;1
Kiminle konuþtuðumu hatýrlamýyorum.;0
Ben... çay içtim mi bugün?;1
Bugün çay içip içmediðimi hatýrlamýyorum.;0
Þey... saat kaçtý o zaman?;1
O zaman saat kaçtý hatýrlamýyorum.;0
O, o... gün çok önemliydi ama neden hatýrlamýyorum?;1
Gün önemliydi ama detaylarý unuttum.;0
Ben, ben... dýþarý çýktým mý?;1
Dýþarý çýkýp çýkmadýðýmý hatýrlamýyorum.;0
Yani... hep bir þeyleri unutuyorum.;1
Sýk sýk bir þeyleri unutuyorum.;0
O, o... yemek neydi ya?;1
Yemeðin ne olduðunu hatýrlamýyorum.;0
Ben... dün kimleydim?;1
Dün kimle olduðumu hatýrlamýyorum.;0
Þey... anahtarlarý nereye koydum?;1
Anahtarlarý nereye koyduðumu hatýrlamýyorum.;0
